StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58321	2010	9	28	19.7	22.4	17.3	86	1.8	7.6 
58321	2010	9	29	18.3	22.8	15.5	80	1.9	14.8 
58321	2010	9	30	18.9	24.3	13.8	78	1.4	19.6 
58321	2010	10	1	19.9	24.1	17.4	70	2	8.7 
58321	2010	10	2	19.4	23.4	18.2	88	1.8	8.1 
58321	2010	10	3	18.7	24.6	15	63	2.4	18.6 
58321	2010	10	4	18.1	25.3	11.8	61	1.3	18.9 
58321	2010	10	5	18.4	26.3	12.4	67	1.6	17.3 
58321	2010	10	6	18.8	24.9	12.4	66	1.5	16.1 
58321	2010	10	7	18.5	22.9	16.4	75	0.9	11.6 
58321	2010	10	8	18.7	24.5	14	84	0.8	8.2 
58321	2010	10	9	18.6	25.2	13.7	81	1	15.2 
58321	2010	10	10	20.2	26	14.9	77	2.5	14.2 
58321	2010	10	11	18.5	21.6	17.3	92	1	6.9 
58321	2010	10	12	18.9	21.8	16.9	90	2	6.8 
58321	2010	10	13	17	18.7	15.7	85	1.9	6.7 
58321	2010	10	14	17	18.8	15.5	85	1	6.7 
58321	2010	10	15	16.4	22.7	11.7	86	0.9	10.3 
58321	2010	10	16	17.7	25.4	12	78	0.9	15.9 
58321	2010	10	17	20.1	27.3	13.6	66	1.3	16.3 
58321	2010	10	18	19.8	22.9	17.2	69	2.1	9.3 
58321	2010	10	19	19.7	24.2	16.2	75	2.8	13.0 
58321	2010	10	20	19.4	24.3	15.4	71	3.3	14.5 
58321	2010	10	21	18.1	22.7	14.3	70	3	14.4 
58321	2010	10	22	17.9	23.1	13.6	68	2.4	14.3 
58321	2010	10	23	18.2	21.1	16.7	82	3.1	6.1 
58321	2010	10	24	17.6	19.6	15.3	93	2.4	6.0 
58321	2010	10	25	14.5	19.3	12.3	68	4.2	6.0 
58321	2010	10	26	12.2	15.7	9.2	48	3.7	13.2 
58321	2010	10	27	11	14.5	8.6	45	3.1	12.8 
58321	2010	10	28	10.6	16.3	4.6	60	1.3	12.9 
58321	2010	10	29	12.5	17.6	6.5	55	0.8	11.3 
58321	2010	10	30	11.7	19.1	6.3	68	0.9	12.4 
58321	2010	10	31	12	19.8	6.1	70	0.9	12.0 
58321	2010	11	1	13.4	20.4	7.9	69	1.1	10.4 
58321	2010	11	2	13.1	15.3	11.3	75	1.9	5.4 
58321	2010	11	3	12.2	17.7	9	78	0.8	8.0 
58321	2010	11	4	12.3	19.1	7.5	75	1	11.2 
58321	2010	11	5	12.9	21	7.4	73	1	11.8 
58321	2010	11	6	13	21.4	7.1	75	0.8	11.8 
58321	2010	11	7	14.8	23	8.1	68	1.4	11.9 
58321	2010	11	8	13.9	19.4	9.7	41	2.4	12.0 
58321	2010	11	9	13.3	22.2	5.5	54	2.3	11.7 
