# ALL AVAILABLE OUTPUT SETTINGS.
# Last updated: 2017-7-12
# MODULECLASS: MODULE CLASS, e.g., PET.
# OUTPUTID: VARIABLE NAME FOR OUTPUT
# DESCRIPTION: DESCRIPTION of OUTPUT
# UNIT: DEFAULT UNIT
# TYPE: DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by '-', e.g., "SUM-AVE".
# STARTTIME: DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00 
# ENDTIME: DATA DERIVED TIME END, SEE STARTTIME
# SUBBASIN: SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY '-',0 IS EQUAL TO 'ALL'.
# FILENAME: OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
# USE：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS,OUTPUTID,DESCRIPTION,UNIT,TYPE,STARTTIME,ENDTIME,INTERVAL,INTERVAL_UNIT,SUBBASIN,FILENAME,USE
Atmosphere deposition,WSHD_RNO3,average annual amount of NO3 added to soil by rainfall in watershed,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_RNO3.txt,0
Subsurface runoff,SSRU,Subsurface runoff,mm,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SSRU.tif,0
Subsurface runoff,SSRUVOL,Subsurface runoff volume,m3,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SSRUVOL.tif,0
Subsurface runoff,SBIF,Subsurface runoff discharge to streams from each subbasin,m3/s,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,SBIF.txt,0
Discharge,QRECH,Discharge at reach outlet of each time step,m3/s,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,1,DAY,OUTLET,Q.txt,0
Sediment,SEDRECH,Sediment concentration,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,1,DAY,OUTLET,SED.txt,0
Sediment,SEDRECHConc,Sediment concentration,mg/L,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,1,DAY,OUTLET,SEDConc.txt,0
Groundwater,REVAP,revaporization from groundwater,mm,MAX,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,REVAP.tif,0
Groundwater,RG,groundwater runoff,mm,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,RG.txt,0
Groundwater,SBQG,groundwater flow out of the subbasin,m3/s,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,SBQG.txt,0
